country_name,country_code,year,crypto_adoption_index_rank,crypto_adoption_index_score,onchain_value_received_usd_millions,p2p_volume_usd_millions,stablecoin_share_pct
Argentina,AR,2021,10,0.19,31,33,
Argentina,AR,2022,,,,,
Argentina,AR,2023,,,,,
Argentina,AR,2024,,,,,
Nigeria,NG,2021,,,,,
Nigeria,NG,2022,,,,,
Nigeria,NG,2023,,,,,
Nigeria,NG,2024,,,,,
Ethiopia,ET,2021,112,0.02,219,,
Ethiopia,ET,2022,,,,,
Ethiopia,ET,2023,,,,,
Ethiopia,ET,2024,,,,,
Philippines,PH,2021,,,,,
Philippines,PH,2022,,,,,
Philippines,PH,2023,,,,,
Philippines,PH,2024,,,,,
